Id,Probability
1,0.5447193
2,0.43406242
3,0.14763404
4,0.5479136
5,0.6291659
6,0.36113745
7,0.311937
8,0.26534125
9,0.027127577
10,0.82859826
11,0.10005298
12,0.19150639
13,0.08612708
14,0.43513075
15,0.47850958
16,0.14513634
17,0.2568778
18,0.16444997
19,0.77442807
20,0.5708054
21,0.102775976
22,0.15527146
23,0.049122915
24,0.9504614
25,0.46975818
26,0.1893073
27,0.6085633
28,0.0865177
29,0.45034835
30,0.23870899
31,0.46451184
32,0.053924326
33,0.19754195
34,0.5015377
35,0.8810249
36,0.4233578
37,0.27587512
38,0.21752445
39,0.11505771
40,0.42669696
41,0.88102657
42,0.8806029
43,0.5877095
44,0.09229147
45,0.46798444
46,0.03655708
47,0.038303036
48,0.21968186
49,0.18875411
50,0.28380898
51,0.19932419
52,0.32384178
53,0.071781054
54,0.369277
55,0.20157316
56,0.6173007
57,0.05752622
58,0.67459434
59,0.5972982
60,0.6031422
61,0.26839116
62,0.07876566
63,0.22700572
64,0.10213968
65,0.1713005
66,0.22106962
67,0.15020786
68,0.7104887
69,0.07609516
70,0.97875744
71,0.19303331
72,0.64840394
73,0.09948083
74,0.6955274
75,0.17365363
76,0.35599312
77,0.47666705
78,0.40204778
79,0.23980853
80,0.17799337
81,0.16752875
82,0.16617516
83,0.34950173
84,0.083958335
85,0.20469357
86,0.13647819
87,0.47856048
88,0.116233
89,0.3777083
90,0.22369856
91,0.48442876
92,0.16452168
93,0.15543213
94,0.18443967
95,0.07546038
96,0.5659546
97,0.34228274
98,0.5965506
99,0.14460608
100,0.11104642
101,0.4898502
102,0.556799
103,0.05702216
104,0.5209999
105,0.39809057
106,0.25521925
107,0.9032024
108,0.18423815
109,0.07368434
110,0.23118141
111,0.24580854
112,0.17494932
113,0.23525289
114,0.9507677
115,0.50242084
116,0.13613828
117,0.027886681
118,0.48112175
119,0.12815718
120,0.10742484
121,0.15661697
122,0.50258654
123,0.17731524
124,0.9393923
125,0.102013156
126,0.17895062
127,0.05944179
128,0.14957911
129,0.04195027
130,0.37098333
131,0.262654
132,0.5755773
133,0.047259524
134,0.5284713
135,0.6720326
136,0.08362706
137,0.7613346
138,0.38523883
139,0.06664421
140,0.13979432
141,0.05816663
142,0.21408758
143,0.04684797
144,0.19880322
145,0.8811563
146,0.091332644
147,0.056031413
148,0.7144309
149,0.0798478
150,0.38670382
151,0.057033353
152,0.14614068
153,0.07457667
154,0.09969173
155,0.21964122
156,0.242708
157,0.4955599
158,0.06609396
159,0.7867181
160,0.24061152
161,0.05530311
162,0.14007807
163,0.14005253
164,0.49903277
165,0.13958997
166,0.20447679
167,0.9363915
168,0.13499823
169,0.77456063
170,0.1536017
171,0.056468293
172,0.20536608
173,0.16634394
174,0.32664004
175,0.20799741
176,0.9380282
177,0.25314522
178,0.6439096
179,0.15177022
180,0.14437681
181,0.34381616
182,0.10091849
183,0.21141656
184,0.16763021
185,0.655607
186,0.10638427
187,0.084236704
188,0.29317415
189,0.3165021
190,0.24409881
191,0.20105307
192,0.35300335
193,0.18787664
194,0.54272735
195,0.14211412
196,0.25964466
197,0.07667827
198,0.13314033
199,0.07097141
200,0.102107
201,0.52697355
202,0.2517445
203,0.90926415
204,0.39930332
205,0.38289022
206,0.06600492
207,0.21392176
208,0.056361165
209,0.5661136
210,0.050113562
211,0.58970445
212,0.2597266
213,0.28488144
214,0.06414869
215,0.14551035
216,0.5251638
217,0.06734518
218,0.55224586
219,0.1767775
220,0.047833476
221,0.17173243
222,0.12805311
223,0.1586388
224,0.11496478
225,0.12705341
226,0.5577201
227,0.09338197
228,0.5932253
229,0.6463781
230,0.9241939
231,0.7790927
232,0.15867642
233,0.14323914
234,0.1682671
235,0.042672615
236,0.79775137
237,0.55072623
238,0.04484242
239,0.14629455
240,0.17416239
241,0.4142879
242,0.12412759
243,0.081019714
244,0.19998845
245,0.5170868
246,0.14430149
247,0.34614587
248,0.05280583
249,0.22169347
250,0.871022
251,0.26362458
252,0.7981266
253,0.056313418
254,0.55836326
255,0.046792716
256,0.08190309
257,0.35026848
258,0.73459244
259,0.3971111
260,0.6779256
261,0.1268485
262,0.17307077
263,0.059489246
264,0.40210482
265,0.5043493
266,0.2024042
267,0.5472918
268,0.36243328
269,0.76597315
270,0.071319066
271,0.22346972
272,0.30697882
273,0.07230685
274,0.19517982
275,0.095285445
276,0.22140905
277,0.16123639
278,0.08773089
279,0.512583
280,0.23097306
281,0.95439076
282,0.38245803
283,0.43970484
284,0.109809205
285,0.14228866
286,0.074001975
287,0.10385355
288,0.3702734
289,0.4916473
290,0.54001427
291,0.9260902
292,0.07610798
293,0.35958228
294,0.15208566
295,0.0600875
296,0.2593441
297,0.14626187
298,0.30115446
299,0.052769147
300,0.0829533
301,0.57670236
302,0.1136675
303,0.13308272
304,0.120911114
305,0.9116577
306,0.340184
307,0.048836432
308,0.60532975
309,0.837348
310,0.11705084
311,0.93255466
312,0.21934548
313,0.81030816
314,0.4211672
315,0.42197117
316,0.54062754
317,0.92069584
318,0.08087976
319,0.12127895
320,0.56861174
321,0.5576245
322,0.16283269
323,0.111178026
324,0.07679039
325,0.4988924
326,0.10432277
327,0.15792802
328,0.11316082
329,0.21584445
330,0.060423672
331,0.10892253
332,0.17072107
333,0.11411862
334,0.27008474
335,0.38786516
336,0.46155557
337,0.11689214
338,0.79311377
339,0.43735325
340,0.09752539
341,0.04495896
342,0.16963838
343,0.2040695
344,0.3652257
345,0.2498603
346,0.28879055
347,0.8970203
348,0.67986727
349,0.20998473
350,0.06778672
351,0.56199044
352,0.3396738
353,0.045280542
354,0.6875482
355,0.114472985
356,0.07042876
357,0.96857774
358,0.0553046
359,0.24977323
360,0.73878974
361,0.1877724
362,0.07877779
363,0.067330934
364,0.17481424
365,0.71511394
366,0.6975448
367,0.22631553
368,0.60061777
369,0.12154322
370,0.90808374
371,0.101736836
372,0.5299084
373,0.1656974
374,0.118035294
375,0.121501185
376,0.04516899
377,0.24742785
378,0.11774103
379,0.24291041
380,0.25451446
381,0.0794732
382,0.26761696
383,0.27972415
384,0.5044457
385,0.082353026
386,0.06746509
387,0.049395602
388,0.19593652
389,0.22277702
390,0.15270679
391,0.058006335
392,0.08259384
393,0.21509883
394,0.6387757
395,0.06726538
396,0.051394153
397,0.6969651
398,0.6865686
399,0.076008044
400,0.20815769
401,0.079496555
402,0.049748052
403,0.20181279
404,0.029623406
405,0.97518855
406,0.9574881
407,0.26415786
408,0.49887684
409,0.21542132
410,0.17959149
411,0.3071361
412,0.36447996
413,0.6124505
414,0.1148151
415,0.08021388
416,0.6459289
417,0.64627296
418,0.3815288
419,0.12546125
420,0.14310063
421,0.11618814
422,0.06754186
423,0.34321818
424,0.07260381
425,0.069382764
426,0.09838457
427,0.32317713
428,0.18849598
429,0.54911155
430,0.10240885
431,0.84492797
432,0.046615697
433,0.17240894
434,0.15476061
435,0.258443
436,0.28069976
437,0.41525584
438,0.6377633
439,0.100033455
440,0.36740822
441,0.12539887
442,0.2665762
443,0.33913177
444,0.07294371
445,0.40665367
446,0.8940189
447,0.12108665
448,0.51582056
449,0.5815439
450,0.061019335
451,0.21986827
452,0.04102785
453,0.5382277
454,0.119045705
455,0.45492867
456,0.2713657
457,0.4050863
458,0.08862115
459,0.522194
460,0.16790552
461,0.16980517
462,0.51017576
463,0.18438022
464,0.46431282
465,0.39348587
466,0.062430535
467,0.10647726
468,0.17463866
469,0.062183745
470,0.8330739
471,0.057064354
472,0.13544495
473,0.9448151
474,0.26573786
475,0.18904084
476,0.17482913
477,0.05958221
478,0.1600009
479,0.22649959
480,0.11839752
481,0.47111067
482,0.09961239
483,0.3727165
484,0.3499171
485,0.034256067
486,0.8805209
487,0.21481073
488,0.5743549
489,0.59143937
490,0.30594173
491,0.12504134
492,0.30553743
493,0.9069713
494,0.11036902
495,0.8803372
496,0.22181109
497,0.0870029
